date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-13,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,infections,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Rt,5.11,5.11,5.12,5.12,5.12,5.13,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Reff,5.11,5.11,5.12,5.12,5.12,5.13,Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,infections,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Rt,5.11,5.11,5.12,5.12,5.12,5.13,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Reff,5.11,5.11,5.12,5.12,5.12,5.13,Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,infections,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Rt,5.11,5.11,5.12,5.12,5.12,5.13,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Reff,5.11,5.11,5.12,5.12,5.12,5.13,Relax Interventions 50%,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Rt,5.13,5.13,5.13,5.13,5.13,5.13,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,Reff,5.13,5.13,5.13,5.13,5.13,5.13,Surged Additional 50% Reduction,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
2020-02-13,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Austria,AUT,2021-05-03,v8,TRUE
